0,gru,512,2,256,avg,0.0001,0.9687141516320784
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,gru,512,2,256,max,0.0001,0.9700698717280217
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,256,2,128,avg,0.001,0.9868599436854729
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,256,2,128,max,0.001,0.9981228490979247
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,256,2,256,avg,0.001,0.980707060173115
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,256,2,256,max,0.001,0.9983314214203776
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,512,2,128,avg,0.001,0.9776827614975493
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,512,2,128,max,0.001,0.9992699968714152
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,512,2,256,avg,0.001,0.9887370945875482
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,512,2,256,max,0.001,0.9989571383877359
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,256,2,128,avg,0.0001,0.9336740014600062
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,256,2,128,max,0.0001,0.9373240171029305
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,256,2,256,avg,0.0001,0.9226196683700073
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,256,2,256,max,0.0001,0.9273125456251955
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,512,2,128,avg,0.0001,0.9564083846073625
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,512,2,128,max,0.0001,0.9760141829179267
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,512,2,256,avg,0.0001,0.947752633225571
,model,hidden_size,num_layer,batch_size,pooling_type,lr,acc
0,rnn,512,2,256,max,0.0001,0.9573469600584003
